SequencingId	SampleId	Replicate
SRR9213348	s1	1
SRR9213349	s2	1
SRR9213350	s3	1
SRR9213351	s4	1
SRR9213352	s5	1
SRR9213353	s6	1
SRR9213354	s7	1
SRR9213355	s8	1
SRR9213356	s9	1
SRR9213357	s10	1
SRR9213358	s11	1
SRR9213359	s12	1
SRR9213360	s13	1
